id,likes_count,from_id,from_name,message,created_time,type,link,story,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count
540404695989874_1219654778064859,8333,5.40405E+14,AfD,"+ + Endspurt in Mecklenburg-Vorpommern + + 
Am Sonntag beide Kreuze bei der #AfD!",2016-09-01T06:03:30+0000,photo,https://www.facebook.com/AfD.MV/photos/a.515807031789555.1073741829.513381125365479/1097694643600788/?type=3,AfD shared Alternative für Deutschland Mecklenburg-Vorpommern - AfD MV's photo.,752,0,293,109,38,5,24
540404695989874_1219150981448572,4770,5.40405E+14,AfD,"Man muss diese Schlagzeile mehrmals lesen, um sie zu glauben:

""Bundesinnenminister Thomas de Maizière (CDU) beklagt mangelndes Nationalbewusstsein der Deutschen.""

De Maizière weiter:

„Obwohl es uns ökonomisch gut geht wie selten zuvor, sind wir uns unserer selbst, unserer Identität nicht sicher genug. Wir wissen nicht mehr genau, wer wir sind und wer wir sein wollen. Was uns als Deutsche ausmacht.""

Werter Herr de Maizière, war es nicht Ihre Vorsitzende, die bei der Wahlparty der CDU die deutsche Fahne kopfschüttelnd von der Bühne verbannt hat? Sind es nicht Sie und ihre Kollegen, die jeden Deutschen, der auch nur einen Hauch Nationalbewusstein zeigt, sofort in die rechte Ecke schieben? Sind Deutsche, die sich ihrer Nation bewusst sind und diese Nation auch bewahren wollen nicht ""Pack"" (Zitat Gabriel) oder leben sie nicht nur in ""Dunkeldeutschland"" (Zitat Gauck) oder haben sie nicht nur ""Hass im Herzen"" (Zitat Merkel)?

Herr de Maizière, Sie und ihre Politikerkollegen im Bundestag haben in den letzten Jahren alles getan, um dem deutschen Volk das Nationalbewusstsein und den Patriotismus abzuerziehen. Die deutsche Fahne ist nur zu Fußball-Meisterschaften gern gesehen und selbst dann wird sie noch von linken Idioten abgerissen.

Wir und unsere Wähler sind uns unser Nation sehr wohl bewusst.  Wir kämpfen seit unserer Gründung für dieses Land, wir wissen, was wir bewahren wollen und zwar nicht nur im Wahlkampf. 

Die CDU sieht ihre Felle davonschwimmen, denn sie weiß, echte Veränderung gibt es nur mit der #AfD.

http://www.welt.de/politik/deutschland/article157911012/De-Maiziere-beklagt-mangelndes-Nationalbewusstsein.html",2016-09-01T12:05:01+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1219150981448572/?type=3,NA,760,1544,96,717,18,6,47
540404695989874_1220577354639268,6086,5.40405E+14,AfD,"13- und 15-jährige Mädchen gehören nicht in eine Ehe, sondern in eine Schule.",2016-09-02T06:07:00+0000,photo,https://www.facebook.com/Dr.Frauke.Petry/photos/a.782724038446912.1073741828.782456275140355/1202376319815013/?type=3,AfD shared Dr. Frauke Petry's photo.,329,1,145,5,3,7,70
540404695989874_1220779821285688,3215,5.40405E+14,AfD,Am Sonntag zählt es! Altparteien abwählen - beide Stimmen #AfD!,2016-09-02T12:02:51+0000,video,https://www.facebook.com/AfD.MV/videos/1098406713529581/,AfD shared Alternative für Deutschland Mecklenburg-Vorpommern - AfD MV's video.,364,0,126,1,8,1,8
540404695989874_1220980757932261,3068,5.40405E+14,AfD,"+ + Merkel beugt sich Erdogan + +

Was war das für ein Schauspiel heute! Oscar-würdig!

Da war im Spiegel zu lesen, die Bundesregierung plane, sich von der Armenien-Resolution zu distanzieren. Doch dann trat Regierungssprecher Seibert vor die Presse, ",2016-09-02T16:35:22+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1220980757932261/?type=3,NA,785,1541,9,322,16,52,1080
540404695989874_1221037934593210,7899,5.40405E+14,AfD,"Die AfD setzt sich dafür ein, Volksentscheide in Anlehnung an das Schweizer Vorbild auch in Deutschland einzuführen.

Wir wollen dem Volk das Recht geben, über vom Parlament beschlossene Gesetze abzustimmen. Dieses Recht würde in kürzester Zeit präventiv mäßigend auf das Parlament wirken und die Flut der oftmals unsinnigen Gesetzesvorlagen nachhaltig eindämmen. Zudem würden die Regelungsinhalte sorgfältiger bedacht, um in Volksabstimmungen bestehen zu können. Auch Beschlüsse des Parlaments in eigener Sache, beispielsweise über Diäten oder andere Mittelzuweisungen, würden wegen der Überprüfungsmöglichkeit der Bürger maßvolle Inhalte haben. Gesetzesinitiativen aus dem Volk haben eigene Gesetzesvorlagen zum Gegenstand und können durch die Stimmbürger angestoßen werden.

Ohne Zustimmung des Volkes darf das Grundgesetz nicht geändert und kein bedeutsamer völkerrechtlicher Vertrag geschlossen werden. Das Volk muss das Recht haben, auch initiativ über Änderungen der Verfassung selbst zu beschließen. Besonders der Abgabe nationaler Souveränität an die EU und andere internationale Organisationen über die Köpfe der Bürger hinweg ist hierdurch der Riegel vorgeschoben.

Das deutsche Volk ist ebenso mündig wie das der Schweizer, um ohne Einschränkung über jegliche Themen direkt abzustimmen. Eine natürliche Schranke ergibt sich durch Grundsätze des Völkerrechts.

Die Schweizer Erfahrung belegt, dass sich die Bürger gemeinwohlorientierter verhalten als Berufspolitiker, selbst wenn Eigeninteressen damit kollidieren. Macht- und interessengetriebene Entscheidungen sind eher in rein repräsentativen Demokratien zu beobachten.

Abstimmungsfragen finanzieller Natur sind ausdrücklich erlaubt. Deutschland steht in einigen gesellschaftlichen Themen vor elementaren politischen Weichenstellungen. Die Verantwortung hierfür kann und darf keine Regierung ohne eine unmittelbare Befragung der Bürger übernehmen. Die Einführung von Volksabstimmungen nach Schweizer Modell ist für die #AfD deshalb nicht verhandelbarer Inhalt jeglicher Koalitionsvereinbarungen.",2016-09-03T06:01:01+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1221037934593210/?type=3,NA,441,1843,208,9,25,2,9
540404695989874_1221778061185864,2628,5.40405E+14,AfD,Wahlkampfabschluss in der AfD MV.,2016-09-03T14:10:50+0000,video,https://www.facebook.com/AfD.MV/videos/1099220183448234/,AfD shared Alternative für Deutschland Mecklenburg-Vorpommern - AfD MV's video.,422,0,134,1,8,0,10
540404695989874_1222170641146606,6297,5.40405E+14,AfD,"Liebe Bürger von Mecklenburg-Vorpommern, 
heute liegt es an Ihnen, gehen Sie wählen und wählen Sie mit beiden Stimmen die Alternative für Deutschland, für unser Land und für unsere Kinder. Altparteien abwählen, Zeit für die #AfD!",2016-09-04T05:55:03+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1222170641146606/?type=3,NA,809,1220,261,10,8,6,78
540404695989874_1222786661085004,2490,5.40405E+14,AfD,"AfD TV ist live in Schwerin dabei. 
Wahlparty der AfD Mecklenburg-Vorpommern und erste Reaktionen",2016-09-04T15:46:43+0000,video,https://www.facebook.com/tv.afd/videos/1812986888914785/,AfD shared AfD TV's live video.,428,0,139,11,14,2,36
540404695989874_1222814791082191,16081,5.40405E+14,AfD,"Erste Hochrechnung aus Mecklenburg-Vorpommern, die #AfD ist klarer Wahlsieger: aus dem Stand auf 21 Prozent.",2016-09-04T16:17:00+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1222814791082191/?type=3,NA,2096,2215,695,87,115,68,355
