id,likes_count,from_id,from_name,message,created_time,type,link,story,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count
81386795687_10154423084835688,339,81386795687,CSU (Christlich-Soziale Union),"Heute startet das Ausbildungsjahr. Wir wünschen allen Azubis viel Erfolg! 

„Eine Ausbildung, egal ob in der Industrie, in den Nahrungsberufen oder der Gastronomie, ist vor allem das Fundament für ein erfolgreiches und selbstbestimmtes Berufsleben und damit die beste Arbeitslosenversicherung“, betont Bayerns Arbeitsministerin Emilia Müller.",2016-09-01T09:21:57+0000,photo,https://www.facebook.com/CSU/photos/a.311521140687.151819.81386795687/10154423084835688/?type=3,NA,36,31,4,1,2,0,0
81386795687_10154423721635688,4891,81386795687,CSU (Christlich-Soziale Union),"Die CSU wird weitere Entscheidungen der Vernunft erzwingen!

Wir müssen den Zustrom begrenzen. Inzwischen ist ja selbst SPD-Chef Sigmar Gabriel für eine Obergrenze, obwohl er diese letztes Jahr noch als Quatsch bezeichnet hat.",2016-09-01T13:52:03+0000,photo,https://www.facebook.com/Andreas.Scheuer/photos/a.135054620007831.1073741859.127608807419079/611748479005107/?type=3,CSU (Christlich-Soziale Union) shared Andreas Scheuer's photo.,729,0,77,147,14,3,12
81386795687_10154423945795688,2238,81386795687,CSU (Christlich-Soziale Union),"Als erstes Bundesland schreibt Bayern Asylbewerbern den Wohnsitz vor. 

Damit soll verhindert werden, dass Asylbewerber allein in die Großstädte ziehen, wo der Wohnraum ohnehin knapp ist.",2016-09-01T15:42:33+0000,link,http://www.csu.de/aktuell/meldungen/september-2016/wohnsitzzuweisungen-fuer-asylbewerber/,NA,343,151,8,135,16,2,58
81386795687_10154426232595688,3714,81386795687,CSU (Christlich-Soziale Union),"Rückenwind für eine zentrale Forderung der CSU für mehr Sicherheit.

Drückt auf ""gefällt mir"", wenn ihr auch der Meinung seid, dass die Bundeswehr z.B. zur Terrorabwehr auch innerhalb Deutschlands eingesetzt werden sollte.",2016-09-02T08:26:14+0000,photo,https://www.facebook.com/CSU/photos/a.311521140687.151819.81386795687/10154426232595688/?type=3,NA,351,186,17,14,10,6,76
81386795687_10154426692230688,1519,81386795687,CSU (Christlich-Soziale Union),"Die Armenien-Resolution gilt! 

Der deutsche Außenminister Steinmeier muss den Parlamentsbeschluss zu 100 Prozent respektieren, alles andere wäre eine grobe Missachtung des Deutschen Bundestages.",2016-09-02T12:07:03+0000,photo,https://www.facebook.com/CSU/photos/a.311521140687.151819.81386795687/10154426692230688/?type=3,NA,261,194,11,25,8,11,112
81386795687_10154419800975688,545,81386795687,CSU (Christlich-Soziale Union),"Wir wünschen euch ein schönes Wochenende, diesmal mit einem Blick auf die Gedenkstätte Walhalla in Donaustauf im Landkreis Regensburg! #miasanbayern",2016-09-03T06:00:00+0000,video,https://www.facebook.com/CSU/videos/10154419800975688/,NA,48,39,20,4,3,0,1
81386795687_10154426741985688,2983,81386795687,CSU (Christlich-Soziale Union),"Bayern wird mehr Geld für Familien und weniger Geld für Asylleistungen ausgeben.

Das hat das bayerische Kabinett bei seiner Klausurtagung in St. Quirin beschlossen.",2016-09-03T11:30:01+0000,link,http://www.csu.de/aktuell/meldungen/august-2016/mehr-sicherheit-im-alter-mehr-geld-fuer-familien/,NA,473,305,64,147,22,0,7
81386795687_10154423908655688,334,81386795687,CSU (Christlich-Soziale Union),"Generalsekretär Andreas Scheuer ist heute zu Gast in der Berliner Runde und diskutiert über die Konsequenzen aus der Landtagswahl in Mecklenburg-Vorpommern für die Bundespolitik. 

Wir freuen uns auf #Klartext! Einschalten lohnt sich! #CSUtvTipp",2016-09-04T15:27:04+0000,photo,https://www.facebook.com/CSU/photos/a.311521140687.151819.81386795687/10154423908655688/?type=3,NA,143,21,9,12,1,1,3
81386795687_10154433951915688,2081,81386795687,CSU (Christlich-Soziale Union),"#Klartext von Andreas Scheuer: 

Wenn die guten Rahmendaten einer großen Koalition in Mecklenburg-Vorpommern kaum mehr was zählen, sondern hauptsächlich über ein bundespolitisches Thema abgestimmt wird, dann muss jetzt das klare Signal endlich in Berlin ankommen. 

Man kann sich doch nicht einfach in ein Schicksal begeben und zusehen, wie eine Protestpartei von den Defiziten der Berliner Republik profitiert.",2016-09-04T17:28:01+0000,photo,https://www.facebook.com/CSU/photos/a.311521140687.151819.81386795687/10154433951915688/?type=3,NA,513,240,22,100,5,2,10
81386795687_10154436171960688,2670,81386795687,CSU (Christlich-Soziale Union),"#Klartext von Generalsekretär Andreas Scheuer!

Die Berliner Republik  muss nach dem dramatischen Wahlergebnis in Mecklenburg-Vorpommern endlich die notwendigen Entscheidungen treffen.",2016-09-05T10:05:31+0000,photo,https://www.facebook.com/Andreas.Scheuer/photos/a.135054620007831.1073741859.127608807419079/613981048781850/?type=3,CSU (Christlich-Soziale Union) shared Andreas Scheuer's photo.,721,0,15,105,27,1,18
